moh_name,med_name,moh_specialty,med_specialty,spec_match
סוקולוב רוסלן,"ד""ר רוסלן סוקולוב",כירורגיה אורתופדית,אורתופדיה כף רגל וקרסול,False
קורן תמר,"ד""ר תמר קורן",מיקרוביולוגיה קלינית,רפואת עור ומין,False
קויפמן בלה,"ד""ר בלה קויפמן",קרדיולוגיה,"קרדיולוגיה, מחלות לב",True
שכטמן יונית,"ד""ר יונית שכטמן",יילוד וגינקולוגיה,גינקולוגיה ומיילדות,False
זסלבסקי קריסטינה,"ד""ר קריסטינה זסלבסקי",אונקולוגיה מסלול אונקולוגיה רפואית,אונקולוגיה,True
דבירי מיכל,"ד""ר מיכל דבירי",יילוד וגינקולוגיה,"גיל המעבר, טיפולי פוריות",False
אלסאנע מוחמד,"ד""ר מוחמד אלסאנע",,רפואת שיניים,False
רענני אהוד,פרופ’ אהוד רענני,כירורגיה של בית החזה,ניתוחי לב,False
עוויסאת הייתם,"ד""ר הייתם עוויסאת",כירורגיה כללית,כירורגיה כללית,True
פררו גיא,"ד""ר גיא פררו",דרמטולוגיה-מחלות עור ומין,רפואת עור ומין,False
טולקין ליאור,"ד""ר ליאור טולקין",אנדוקרינולוגיה,אנדוקרינולוגיה,True
בבין אלכס,"ד""ר אלכס בבין",,אסתטיקה רפואית,False
רום אייל,"ד""ר אייל רום",יילוד וגינקולוגיה,"כירורגיה גינקולוגית, אורוגינקולוגיה",False
הבר מיטל,"ד""ר מיטל הבר",דרמטולוגיה-מחלות עור ומין,רפואת עור ומין,False
סובח ראשאד,"ד""ר ראשאד סובח",גריאטריה,גריאטריה,True
מזאוי אליאס,"ד""ר אליאס מזאוי",כירורגיה אורתופדית,החלפות מפרקים,False
ערטול נעים,"ד""ר נעים ערטול",גסטרואנטרולוגיה,גסטרואנטרולוגיה,True
ברקוביץ אלדר,"ד""ר אלדר ברקוביץ",רפואת המשפחה,רפואה אסתטית,False
גפן רחל,"ד""ר רחל גפן",כירורגיה כללית,כירורגיה כללית,True
