name,raw_name,specialty,norm_name,norm_specialty,source
"ד""ר אבני שרימומחית בפסיכיאטריה",אבני שרימומחית בפסיכיאטריה,,בפסיכיאטריה שרימומחית אבני,,IMA
"ד""ר אבני שרי",אבני שרי,,שרי אבני,,IMA
"ד""ר גולדריי דוד",גולדריי דוד,"מומחה במינהל רפואי, מומחה בגריאטריה, מומחה ברפואה פנימית",דוד גולדריי,במינהל רפואי מומחה בגריאטריה מומחה ברפואה פנימית,IMA
"ד""ר גולדריי דוד",גולדריי דוד,,דוד גולדריי,,IMA
פרופ נשר ליאור,נשר ליאור,"מומחה במחלות זיהומיות, מומחה ברפואה פנימית",ליאור נשר,במחלות זיהומיות מומחה ברפואה פנימית,IMA
פרופ נשר ליאור,נשר ליאור,,ליאור נשר,,IMA
פרופ עזרא יוסף,עזרא יוסף,מומחה ביילוד וגינקולוגיה,יוסף עזרא,ביילוד וגינקולוגיה,IMA
פרופ עזרא יוסף,עזרא יוסף,,יוסף עזרא,,IMA
פרופ הימן שמואל  נעם,הימן שמואל  נעם,"מומחה ברפואה דחופה, מומחה ברפואה פנימית",נעם שמואל הימן,ברפואה דחופה מומחה ברפואה פנימית,IMA
פרופ הימן שמואל  נעם,הימן שמואל  נעם,,נעם שמואל הימן,,IMA
"ד""ר פור סמירפואת שיניים,","פור סמירפואת שיניים,",,"שיניים, סמירפואת פור",,IMA
"ד""ר פור סמי",פור סמי,,סמי פור,,IMA
פרופ גינדס ליאתמומחית ביילוד וגינקולוגיה,גינדס ליאתמומחית ביילוד וגינקולוגיה,,וגינקולוגיה ביילוד ליאתמומחית גינדס,,IMA
פרופ גינדס ליאת,גינדס ליאת,,ליאת גינדס,,IMA
פרופ שדה מנחם,שדה מנחם,מומחה בנוירולוגיה,מנחם שדה,בנוירולוגיה,IMA
פרופ שדה מנחם,שדה מנחם,,מנחם שדה,,IMA
"ד""ר מן ויטלי",מן ויטלי,מומחה במחלות עיניים,ויטלי מן,במחלות עיניים,IMA
"ד""ר מן ויטלי",מן ויטלי,,ויטלי מן,,IMA
פרופ הוד חנוך,הוד חנוך,מומחה בקרדיולוגיה,חנוך הוד,בקרדיולוגיה,IMA
פרופ הוד חנוך,הוד חנוך,,חנוך הוד,,IMA
"ד""ר שלו הדר",שלו הדר,מומחה בפסיכיאטריה,הדר שלו,בפסיכיאטריה,IMA
"ד""ר שלו הדר",שלו הדר,,הדר שלו,,IMA
"ד""ר טלמון רפאל",טלמון רפאל,מומחה ביילוד וגינקולוגיה,רפאל טלמון,ביילוד וגינקולוגיה,IMA
"ד""ר טלמון רפאל",טלמון רפאל,,רפאל טלמון,,IMA
"ד""ר פז יוסף",פז יוסף,מומחה בכירורגיה של בית החזה,יוסף פז,בכירורגיה של בית החזה,IMA
"ד""ר פז יוסף",פז יוסף,,יוסף פז,,IMA
"ד""ר גלעדי יורם",גלעדי יורם,מומחה ביילוד וגינקולוגיה,יורם גלעדי,ביילוד וגינקולוגיה,IMA
"ד""ר גלעדי יורם",גלעדי יורם,,יורם גלעדי,,IMA
"ד""ר קנטרובסקי אלכסנדר",קנטרובסקי אלכסנדר,"מומחה בכירורגית כלי-דם, מומחה בכירורגיה כללית",אלכסנדר קנטרובסקי,בכירורגית כלי-דם מומחה בכירורגיה כללית,IMA
"ד""ר קנטרובסקי אלכסנדר",קנטרובסקי אלכסנדר,,אלכסנדר קנטרובסקי,,IMA
"ד""ר ציק דניאל",ציק דניאל,מומחה במחלות א.א.ג וכירורגיה של ראש וצוואר,דניאל ציק,במחלות א.א.ג וכירורגיה של ראש וצוואר,IMA
"ד""ר ציק דניאל",ציק דניאל,,דניאל ציק,,IMA
פרופ קטן רפאל,קטן רפאל,מומחה באונקולוגיה,רפאל קטן,באונקולוגיה,IMA
פרופ קטן רפאל,קטן רפאל,,רפאל קטן,,IMA
"ד""ר סלע רויטלמומחית ברפואת ילדים",סלע רויטלמומחית ברפואת ילדים,,ילדים ברפואת רויטלמומחית סלע,,IMA
"ד""ר סלע רויטל",סלע רויטל,,רויטל סלע,,IMA
"ד""ר היימס מיכאל",היימס מיכאל,מומחה במחלות עיניים,מיכאל היימס,במחלות עיניים,IMA
"ד""ר היימס מיכאל",היימס מיכאל,,מיכאל היימס,,IMA
"ד""ר בנדט ארז",בנדט ארז,מומחה במחלות א.א.ג וכירורגיה של ראש וצוואר,ארז בנדט,במחלות א.א.ג וכירורגיה של ראש וצוואר,IMA
"ד""ר בנדט ארז",בנדט ארז,,ארז בנדט,,IMA
פרופ גרינמן יונהמומחית באנדוקרינולוגיה,גרינמן יונהמומחית באנדוקרינולוגיה,,באנדוקרינולוגיה יונהמומחית גרינמן,,IMA
פרופ גרינמן יונה,גרינמן יונה,,יונה גרינמן,,IMA
"ד""ר לובוביץ' אלהמומחית בקרדיולוגיה, מומחית ברפואה פנימית","לובוביץ' אלהמומחית בקרדיולוגיה, מומחית ברפואה פנימית",,"פנימית ברפואה מומחית בקרדיולוגיה, אלהמומחית לובוביץ'",,IMA
"ד""ר לובוביץ' אלה",לובוביץ' אלה,,אלה לובוביץ',,IMA
"ד""ר דרניקוב אנג'להמומחית בפסיכיאטריה",דרניקוב אנג'להמומחית בפסיכיאטריה,,בפסיכיאטריה אנג'להמומחית רניקוב,,IMA
"ד""ר דרניקוב אנג'לה",דרניקוב אנג'לה,,אנג'לה רניקוב,,IMA
"ד""ר רייך אהוד",רייך אהוד,מומחה במחלות עיניים,אהוד רייך,במחלות עיניים,IMA
"ד""ר רייך אהוד",רייך אהוד,,אהוד רייך,,IMA
