med_name,ima_name,norm_name,med_specialty,ima_specialty,confidence,name_match,specialty_match,med_idx,ima_idx
פרופ' דוד טנה,טנה דוד,דוד טנה,נוירולוגיה,מומחה בנוירולוגיה,1.0,True,False,2182,44
"ד""ר יריב קשת",קשת יריב,יריב קשת,רפואת עיניים,מומחה במחלות עיניים,1.0,True,False,2203,4424
פרופ' ארנון אליצור,אליצור ארנון,ארנון אליצור,"מחלות ריאה בילדים, אלרגיה/אימנולוגיה בילדים ומבוגרים","מומחה באימונולוגיה ואלרגולוגיה, מומחה במחלות ריאה ילדים, מומחה ברפואת ילדים",1.0,True,False,2220,3560
"ד""ר רביע קאסם",קאסם רביע,רביע קאסם,רפואת עיניים,מומחה במחלות עיניים,1.0,True,False,2252,1214
"ד""ר טל ברגר",ברגר טל,טל ברגר,גסטרואנטרולוגיה ילדים,"מומחה בגסטרואנטרולוגית ילדים, מומחה ברפואת ילדים",1.0,True,False,2253,1618
"ד""ר יורם גלעדי",גלעדי יורם,יורם גלעדי,גינקולוגיה ומיילדות,מומחה ביילוד וגינקולוגיה,1.0,True,False,2262,148
"ד""ר אורן זלוטניק",זלוטניק אורן,אורן זלוטניק,כירורגיה כללית,מומחה בכירורגיה כללית,1.0,True,False,2267,1845
"ד""ר נמרוד פרידמן",פרידמן נמרוד,נמרוד פרידמן,כירורגיה פלסטית ואסתטית,מומחה בכירורגיה פלסטית ואסתטית,1.0,True,False,2286,26
"ד""ר מאיר רייכר",רייכר מאיר,מאיר רייכר,קרדיולוגיה,מומחה בקרדיולוגיה,1.0,True,False,2296,1072
"ד""ר איגור יגוב",יגוב איגור,איגור יגוב,כירורגיה כללית,מומחה בכירורגיה כללית,1.0,True,False,2378,3300
"ד""ר וסים חילו",חילו וסים,וסים חילו,עיניים,מומחה במחלות עיניים,1.0,True,False,2397,174
"ד""ר מקבל שלח",שלח מקבל,מקבל שלח,כירורגיה אורתופדית,מומחה בכירורגיה אורתופדית,1.0,True,False,2409,406
פרופ' יעקב גניזי,גניזי יעקב,יעקב גניזי,נוירולוגית ילדים,"מומחה בנוירו ילדים והתפתחות הילד, מומחה בנוירולוגית ילדים, מומחה ברפואת ילדים",1.0,True,False,2433,2192
"ד""ר אריאל ניימן",ניימן אריאל,אריאל ניימן,כירורגיה פלסטית,מומחה בכירורגיה פלסטית ואסתטית,1.0,True,False,2490,4678
"ד""ר דן פרט",פרט דן,דן פרט,כירורגיה אורתופדית,מומחה בכירורגיה אורתופדית,1.0,True,True,2512,1987
"ד""ר פיראס פאהום",פאהום פיראס,פיראס פאהום,נוירולוגיה,מומחה בנוירולוגיה,1.0,True,False,2520,74
"ד""ר איתמר גנמור",גנמור איתמר,איתמר גנמור,"נוירולוגיה, אלצהיימר",מומחה בנוירולוגיה,1.0,True,False,2528,3558
"ד""ר שי שניידר",שניידר שי,שי שניידר,"רינולוגיה, כירורגיה אנדוסקופית של האף, סינוסים ובסיס הגולגולת",מומחה במחלות א.א.ג וכירורגיה של ראש וצוואר,1.0,True,False,2539,2380
"ד""ר שי שמש",שמש שי,שי שמש,"רינולוגיה, כירורגיה אנדוסקופית של האף, סינוסים ובסיס הגולגולת",מומחה בכירורגיה אורתופדית,1.0,True,True,2543,4843
"ד""ר חסן חאסקיה",חאסקיה חסן,חסן חאסקיה,רדיולוגיה אבחנתית,מומחה ברדיולוגיה אבחנתית,1.0,True,False,2580,3672
"ד""ר מיכאל ויינריב",ויינריב מיכאל,מיכאל ויינריב,כירורגיה אורולוגית,מומחה בכירורגיה אורולוגית,1.0,True,False,2597,2656
פרופ' רן כץ,כץ רן,רן כץ,כירורגיה אורולוגית,מומחה בכירורגיה אורולוגית,1.0,True,False,2617,1805
"ד""ר ויטלי מן",מן ויטלי,ויטלי מן,רפואת עיניים,מומחה במחלות עיניים,1.0,True,False,2662,138
"ד""ר לואא עומר",עומר לואא,לואא עומר,"רפואת עיניים, קרנית",מומחה במחלות עיניים,1.0,True,False,2669,4179
"ד""ר אריה יפה",יפה אריה,אריה יפה,גינקולוגיה ומיילדות,מומחה ביילוד וגינקולוגיה,1.0,True,False,2696,2116
"ד""ר דוד אזרחי",אזרחי דוד,דוד אזרחי,רפואת עיניים,מומחה במחלות עיניים,1.0,True,False,2813,5732
"ד""ר דן לוין",לוין דן,דן לוין,גינקולוגיה ופריון,מומחה ביילוד וגינקולוגיה,1.0,True,False,2816,1256
