moh_name,ima_name,norm_name,moh_specialty,ima_specialty,confidence,name_match,specialty_match,moh_idx,ima_idx
טאטור סאמח,טאטור סאמח,סאמח טאטור,רפואת ילדים,"מומחה בגסטרואנטרולוגית ילדים, מומחה ברפואת ילדים",1.0,True,False,33522,1698
שיבר יצחק,שיבר יצחק,יצחק שיבר,רפואה פנימית,"מומחה בהרדמה, מומחה בטיפול נמרץ כללי, מומחה ברפואה פנימית",1.0,True,False,33539,1262
כהן גיל,כהן גיל,גיל כהן,יילוד וגינקולוגיה,מומחה ביילוד וגינקולוגיה,1.0,True,False,33562,4137
בן דוד נדב,בן דוד נדב,נדב דוד בן,כירורגיה כללית,מומחה בכירורגיה כללית,1.0,True,False,33576,4921
חאג' באסל,חאג' באסל,באסל חאג',כירורגיה כללית,מומחה בכירורגיה כללית,1.0,True,False,33602,2796
וגמייסטר יונתן,וגמייסטר יונתן,יונתן וגמייסטר,כירורגיה אורולוגית,מומחה בכירורגיה אורולוגית,1.0,True,False,33604,928
רצ'קימן מאיר,רצ'קימן מאיר,מאיר רצ'קימן,כירורגיה פלסטית ואסתטית,מומחה בכירורגיה פלסטית ואסתטית,1.0,True,False,33619,1102
ליבובסקי דן מאיר,ליבובסקי דן מאיר,מאיר דן ליבובסקי,רפואה פנימית,"מומחה בגסטרואנטרולוגיה, מומחה ברפואה פנימית",1.0,True,False,33621,852
תירוש עמית,תירוש עמית,עמית תירוש,רפואה פנימית,"מומחה באנדוקרינולוגיה, מומחה ברפואה פנימית",1.0,True,False,33640,2844
שטפלר פטריק,שטפלר פטריק,פטריק שטפלר,רפואת ילדים,"מומחה במחלות ריאה ילדים, מומחה ברפואת ילדים",1.0,True,False,33661,3793
זיפמן אייל,זיפמן אייל,אייל זיפמן,גאסטרואנטרולוגיה ילדים,"מומחה בגסטרואנטרולוגית ילדים, מומחה ברפואת ילדים",1.0,True,False,33690,3458
סקעת אלון,סקעת אלון,אלון סקעת,מחלות עיניים,מומחה במחלות עיניים,1.0,True,False,33694,952
שמריז עודד,שמריז עודד,עודד שמריז,רפואת ילדים,"מומחה באימונולוגיה ואלרגולוגיה, מומחה ברפואת ילדים",1.0,True,False,33699,3350
